"iso3c","country","AG.LND.AGRI.K2","AG.LND.AGRI.ZS","AG.LND.ARBL.ZS","AG.LND.EL5M.RU.K2","AG.LND.EL5M.RU.ZS","AG.LND.EL5M.UR.K2","AG.LND.EL5M.UR.ZS","AG.LND.EL5M.ZS","AG.LND.FRST.K2","AG.LND.FRST.ZS","AG.LND.IRIG.AG.ZS","AG.LND.PRCP.MM","AG.YLD.CREL.KG","BX.KLT.DINV.WD.GD.ZS","EG.ELC.ACCS.ZS","EG.ELC.COAL.ZS","EG.ELC.HYRO.ZS","EG.ELC.NGAS.ZS","EG.ELC.NUCL.ZS","EG.ELC.PETR.ZS","EG.ELC.RNEW.ZS","EG.ELC.RNWX.KH","EG.ELC.RNWX.ZS","EG.FEC.RNEW.ZS","EG.USE.COMM.GD.PP.KD","EG.USE.ELEC.KH.PC","EG.USE.PCAP.KG.OE","EN.ATM.CO2E.EG.ZS","EN.ATM.CO2E.GF.KT","EN.ATM.CO2E.GF.ZS","EN.ATM.CO2E.KD.GD","EN.ATM.CO2E.KT","EN.ATM.CO2E.LF.KT","EN.ATM.CO2E.LF.ZS","EN.ATM.CO2E.PC","EN.ATM.CO2E.PP.GD","EN.ATM.CO2E.PP.GD.KD","EN.ATM.CO2E.SF.KT","EN.ATM.CO2E.SF.ZS","EN.ATM.GHGO.KT.CE","EN.ATM.GHGO.ZG","EN.ATM.GHGT.KT.CE","EN.ATM.GHGT.ZG","EN.ATM.HFCG.KT.CE","EN.ATM.METH.KT.CE","EN.ATM.METH.ZG","EN.ATM.NOXE.KT.CE","EN.ATM.NOXE.ZG","EN.ATM.PFCG.KT.CE","EN.ATM.SF6G.KT.CE","EN.CLC.DRSK.XQ","EN.CLC.GHGR.MT.CE","EN.CLC.MDAT.ZS","EN.POP.EL5M.RU.ZS","EN.POP.EL5M.UR.ZS","EN.POP.EL5M.ZS","EN.URB.MCTY.TL.ZS","ER.H2O.FWTL.K3","ER.H2O.FWTL.ZS","ER.LND.PTLD.ZS","ER.MRN.PTMR.ZS","ER.PTD.TOTL.ZS","IC.BUS.EASE.XQ","IQ.CPA.PUBS.XQ","IS.ROD.PAVE.ZS","NV.AGR.TOTL.ZS","SE.ENR.PRSC.FM.ZS","SE.PRM.CMPT.ZS","SH.DYN.MORT","SH.MED.CMHW.P3","SH.STA.MALN.ZS","SI.POV.DDAY","SP.POP.GROW","SP.POP.TOTL","SP.URB.GROW","SP.URB.TOTL","SP.URB.TOTL.IN.ZS"
"AUS","Australia",3588950,46.6580950127535,4.02677060122049,44375.9375,0.577938848,1739.064575,0.022649053,0.600587901,1340051,17.4213145571644,0.640298694604271,534,2035.5,2.85682249987177,100,62.8716168006469,5.29618354500626,20.7954779685741,0,2.6950641361049,13.6378410946741,2.1044e+10,8.34165754966783,9.64500045776367,115.118389555772,10071.3989785006,5483.81640154023,2.87873412328017,79122.859,20.607057766434,0.272302624212754,386620,118909.809,30.9693220647984,15.475516485656,0.307953069816506,0.314852182939442,172598.356,44.9521710594854,-17268.705078125,483.46335896341,615380,57.9284716264744,7992,139070,9.06486632809467,76760,-13.7469774873736,567,492,4,53.9709139226169,3.04709860649413,0.903205208,3.613415547,4.516620755,61.0356950027837,15.945,3.24085365853659,19.2656223071572,40.5594116036044,29.7087937305528,14,NA,NA,1.89796911311257,0.968850016593933,NA,3.6,0.049,0.2,0.5,1.25869817155796,25687041,1.39445750643396,22152761,86.241
"AUT","Austria",26528.3,32.1477217644207,16.0827678138633,NA,NA,NA,NA,NA,38991.5,47.2509694619486,1.43062052228884,1110,6160,-1.8199783496317,100,8.22660816346356,59.9970856337937,12.6013956575944,0,1.39403850201577,76.4907792691417,1.0187e+10,16.493693635348,33.8456001281738,71.9779586607947,8355.84195182134,3800.29942035468,1.92267620452087,16450.162,25.9507209339012,0.142784867599168,63180,31312.513,49.3966130304464,7.14663762463773,0.125268950232728,0.129239519637392,11393.369,17.9734484934532,-8604.11328125,88.2496088996999,74980,13.3061865349978,2835,6660,-20.1657788290508,3620,-28.6619604834806,236,183,NA,-17.5244679473603,0.0381529782796336,NA,NA,NA,21.6429251093812,3.49,6.34545454545455,28.397981655605,NA,28.3979816556051,27,NA,NA,1.13948444457699,0.974089980125427,99.8130035400391,3.5,NA,NA,0.6,0.419000872876687,8917205,0.816410078971374,5238680,58.748
"AZE","Azerbaijan",47795,57.8253926004791,25.3817117138916,NA,NA,NA,NA,NA,11317.7,13.6928642291964,29.9884925201381,447,3013.7,3.12183056112494,100,0,6.63075178224238,86.0823071937783,0,6.50923525599482,7.0398574206092,1.01e+08,0.409105638366818,1.97130000591278,100.974738983809,2202.39391828846,1502.07816841371,2.2782440470663,21525.29,65.907195345989,0.555276506432682,32020,12244.113,37.4896295162278,3.22140218320925,0.221389728801963,0.22670525437909,3.667,0.0112278015921617,-514.234741210901,354.909661877231,80260,-27.6062371666393,86,43600,74.1533668116621,4160,0.253364947968993,197,0,NA,NA,1.10556506666241,NA,NA,NA,23.1594078643608,12.7816,157.505853357979,10.1551256208372,0.436929518301171,5.51915683577014,34,3.1,NA,6.92578714991399,1.01073002815247,100.383338928223,20.4,NA,4.9,0,0.852605731702236,10110116,1.50368941564512,5701802,56.397
"BDI","Burundi",20330,79.1666666666667,46.7289719626168,NA,NA,NA,NA,NA,2796.4,10.8894080996885,NA,1274,1248.4,0.0346896855522433,11.0647974014282,NA,NA,NA,NA,NA,82.7093851288663,NA,NA,85.5269012451172,NA,NA,NA,NA,0,0,0.250443917798729,590,429.039,93.269347826087,0.0527946300523678,0.0677020730221888,0.0693275870093164,14.668,3.18869565217391,-293.61785507202,636.04826546003,5520,123.455019330366,NA,2140,58.4020903852764,2360,17.3465759862873,NA,NA,3.25,-15.346,2.37741128892302,NA,NA,NA,NA,0.2801,2.78429423459245,7.5914717058788,NA,7.59147170587878,166,2.3,10.4399995803833,28.4545316294577,1.04294002056122,59.3764190673828,56.5,0.072,27,72.8,3.07610176014791,11890781,5.60262426061548,1629988,13.708
"BEL","Belgium",13540,44.7159841479524,28.0713342140026,843.8564453,2.772094027,1497.484741,4.919282811,7.691376838,6893,22.7642007926024,0.42648709315376,847,8154,-5.43186655231303,100,6.10801173290389,0.457238166446195,32.8061195145799,37.5323517570599,0.300511876689481,20.8000230056939,1.4148e+10,20.3427848392477,10.6626996994019,94.7880945474654,7709.12307788247,4687.7870492938,1.80128939776576,32749.977,34.7221978371501,0.173923236476676,93470,50446.919,53.4848589906701,8.17971106113614,0.155323160626636,0.16003830306309,10557.293,11.1930587362171,2697.18701171871,472.540311616742,108750,-3.26304177778005,2657,8200,-25.7264047689135,4460,-13.4828336367429,26,93,NA,-1.6002542750046,0.00169216806014966,1.215006283,9.951888064,11.166894347,27.027170394731,3.994,33.2833333333333,23.293342934656,36.6552430210351,24.6491730272904,46,NA,NA,0.719008442143204,1.0733699798584,NA,3.4,NA,1,0.1,0.581620792438621,11555997,0.620368902184976,11334006,98.079
"BEN","Benin",39500,35.0301525363604,24.8315005321036,1041.685791,0.902954539,106.7590179,0.092540899,0.995495438,31351.5,27.8037424618659,0.261971830985915,1039,1432.4,1.51620780935649,40.3187408447266,0,4.09356725146199,0,0,94.4444444444444,5.55555555555556,5e+06,1.46198830409357,43.9723014831543,140.057445691913,100.225151769168,416.790619547949,1.28514378449888,0,0,0.568572669794596,7910,5258.478,72.7313692946058,0.688722324311593,0.212787289263457,0.217896271891912,319.029,4.41257261410788,1486.29075622559,-53.9702717528905,17380,-28.9371945601602,0,5530,36.3911046000586,2930,30.3836915717086,0,0,NA,NA,0.858274799264925,3.445851082,8.405598377,11.851449459,NA,0.13,1.2621359223301,29.6233712049703,0,23.4719085609043,149,3.4,9.5,27.1091750361118,0.877080023288727,64.4395980834961,90.3,NA,16.8,49.6,2.69237381344614,12123198,3.84323703290972,5869446,48.415
"BFA","Burkina Faso",121000,44.2251461988304,21.9298245614035,NA,NA,NA,NA,NA,62164,22.7207602339181,NA,748,1107.9,1.01914916001718,18.3791522979736,NA,NA,NA,NA,NA,9.35403868441754,NA,NA,66.9662017822266,NA,NA,NA,NA,0,0,0.270126906383035,4270,3267.297,93.3513428571429,0.21618648458803,0.0995682579736829,0.101958873043285,0,0,2087.92979431152,10172.0000000001,30850,261.372448817469,NA,15600,106.643373454027,9850,75.3119826479571,NA,NA,NA,NA,1.250036827358,NA,NA,NA,13.3009329924235,0.8167,6.5336,14.9228805539331,NA,14.9228805539331,151,3.4,4.17000007629395,20.4255161919134,1.00651001930237,64.5494537353516,87.5,0.127,16.4,43.8,2.82323073597345,20903278,4.89304473435466,6397866,30.607
"BGD","Bangladesh",92023,70.694476453868,59.7088422831682,12137.62109,8.989830464,873.0510864,0.646632581,9.636463045,18834,14.4687716063609,60.158936274195,2666,4790.7,0.630626636876131,92.2,1.6895155140567,0.959143210587856,80.7035976343394,0,16.3799969497212,1.2268899018827,1.58e+08,0.267746691294843,30.7061996459961,65.2829392690162,320.209923304099,229.25054031946,1.80107982357548,53593.205,72.6786072687822,0.426276612446254,82760,15449.071,20.9507336588012,0.512837313770296,0.112773967577753,0.115481649240933,6226.566,8.44394629780309,1513.7705078125,-86.9817644574954,198970,44.6709619559371,0,83790,20.7237805235112,29240,64.6944813308178,0,0,4,NA,4.58469425909382,7.123837738,1.792305621,8.916143359,15.8028911918384,35.87,34.1619047619048,4.60596281196676,5.35719019951986,4.88864858128713,168,2.5,NA,12.6451498926492,1.11591005325317,67.8321914672852,30.8,0.476,22.6,14.3,1.00277418143487,164689383,3.04566007142533,62873466,38.177
"BGR","Bulgaria",50300,46.3338246131172,32.0375829034635,143.3030243,0.129666107,82.49730682,0.074646747,0.204312854,38930,35.8603537214444,1.85022903804023,608,5463.8,3.0276923494382,100,46.2065569734521,11.6142136145419,3.82421730745558,33.8120911202506,0.373394608345985,17.9885929998769,3.107e+09,6.37437938533503,19.5275001525879,132.16015867622,4708.92745757231,2477.65540069696,2.35942495288274,6153.226,14.7417968375659,0.674923371889762,41130,12218.444,29.2727455678007,5.85477343393352,0.255540883954497,0.263628161085247,22339.364,53.5202779108769,-7702.9094238281,226.971532643341,53330,-37.1401672865778,648,6910,-24.7637109541265,4050,-49.9049590880669,18,0,3.5,-11.7818769091571,0.00855316044646202,0.140460177,0.594744866,0.735205043,18.4916232730615,5.658,26.9428571428571,34.7035801172141,8.10330994468942,28.2969904804196,61,NA,NA,3.41328704414317,0.97681999206543,86.618537902832,6.7,NA,1.9,0.9,-0.697303108247042,6927288,-0.248404406456617,5242987,75.686
"BHR","Bahrain",86,11.025641025641,2.05128205128205,84.21029663,12.67421253,141.5125275,21.2985813,33.97279383,7,0.897435897435897,43.4782608695652,83,NA,2.44773758815233,100,0,0,99.9684033141413,0,0.0315966858587277,0,0,0,0,219.840494032839,19596.9830989774,10596.5662055891,2.13451453497037,27194.472,90.0479205298013,0.91275464488855,30750,3802.679,12.5916523178808,19.5929758385156,0.414142805424669,0.424086295968384,0,0,8391.6157226562,-87.4015748031495,48950,92.655368233727,0,14850,87.6823118330343,90,80.847906033102,320,0,NA,NA,NA,9.937365824,24.34428742,34.281653244,NA,0.1551,3877.5,6.62174781265092,1.24223918679232,1.68635200570205,43,NA,NA,0.314551127455963,1.03770005702972,100.241188049316,6.9,NA,NA,NA,3.61532480809725,1701583,3.74055228166301,1523019,89.506
